instId,name,address,isSchool,isInstitute,isOrganiser,isPublisher
AAS,American Astronomical Society,"1667 K Street NW, Suite 800, Washington, DC 20006 USA",0,0,0,1
ACES,Asian Chemical Editorial Society,,0,0,0,1
ACJC,Anglo-Chinese Junior College,"25 Dover Cl E, Singapore 139745",1,0,0,0
ACSI,Anglo-Chinese School (Independent),"121 Dover Rd, Singapore 139650",1,0,0,0
ASHK,The Academy of Sciences of Hong Kong,"10 Science Park W Ave, Science Park, Hong Kong",0,0,1,0
ASRJC,Anderson Serangoon Junior College,"4500 Ang Mo Kio Ave 6, Singapore 569843",1,0,1,0
ASTAR,"Agency of Science, Technology and Research","1 Fusionopolis Way, #20-10 Connexis, Singapore 138632",0,1,1,0
BII,Bioinformatics Institute,"30 Biopolis St, Matrix, Singapore 138671",0,1,0,0
CGSS,Cedar Girls' School,"1 Cedar Ave, Singapore 349692",1,0,0,0
DHS,Dunman High School,"10 Tg Rhu Rd, Singapore 436895",1,0,0,0
DIGI,Digipen Institute of Technology,"510 Dover Rd, #03-01 SIT@SP, Building 139660",0,1,0,0
DSO,Defence Science Organisation,"12 Science Park Drive, Singapore 118225",0,1,0,0
DSTA,Defence Science and Technology Agency,"1 Depot Rd, Singapore 109679",0,1,0,0
EJC,Eunoia Junior College,"2 Sin Ming Pl, Singapore 573838",1,0,0,0
EPS,European Physical Society,,0,0,0,1
HCI,Hwa Chong Institution,"661 Bukit Timah Road, Singapore 269734",1,0,1,0
HKFYG,Hong Kong Federation of Youth Groups,"The Hong Kong Federation Of Youth Groups Building, 21 Pak Fuk Rd, Tsat Tsz Mui, Hong Kong",0,0,1,0
IEEE,Institute of Electrical and Electronics Engineers,"445 and 501 Hoes Lane, Piscataway, NJ 08854-4141 USA",0,0,1,1
IHPC,Institute of High Performance Computing,"1 Fusionopolis Way, #16-16 Connexis, Singapore 138632",0,1,0,0
IIR,Institute for Infocomm Research,"1 Fusionopolis Way, #21-01 Connexis, Singapore 138632",0,1,0,0
IMCB,Institute of Molecular and Cell Biology,"61 Biopolis Dr, Proteos, Singapore 138673",0,1,0,0
IMRE,Institute of Materials Research and Engineering,"2 Fusionopolis Way, Singapore 138634",0,1,0,0
IOP,IOP Publishing,,0,0,0,1
IPS,Institute of Physics Singapore,"2 Science Drive 3, Singapore 117542",0,0,0,1
IRC,International Researchers Club,"511 Upper Jurong Rd, Singapore 638366",0,0,1,0
MGS,Methodist Girls' School,"11 Blackmore Dr, Singapore 599986",1,0,0,0
NERI,NUS Environmental Research Institute,"5A Engineering Drive 1, #02-03 T-Lab Building, Singapore 117411",0,1,0,0
NIE,National Institute of Education,"1 Nanyang Walk, Singapore 637616",0,1,0,0
NJC,National Junior College,"37 Hillcrest Rd, Singapore 288913",1,0,0,0
NSPC,NuSpace,"Blk 71 Ayer Rajah Crescent, #05-21, Singapore 139951",0,1,0,0
NTU,Nanyang Technological University,"50 Nanyang Ave, 639798",0,1,0,0
NUH,National University Hospital,"5 Lower Kent Ridge Rd, Singapore 119074",0,1,0,0
NUS,National University of Singapore,"21 Lower Kent Ridge Rd, Singapore 119077",0,1,0,1
NYGH,Nanyang Girls' High School,"2 Linden Dr, Singapore 288683",1,0,0,0
RGS,Raffles Girls' School,"2 Braddell Rise, Singapore 318871",1,0,0,0
RI,Raffles Institution,"1 Raffles Institution Ln, Singapore 575954",1,1,0,0
SAJC,Saint Anthony's Junior College,"5 Sorby Adams Dr, Singapore 357691",1,0,0,0
SCS,Science Centre Singapore,"15 Science Centre Rd, Singapore 609081",0,1,1,0
SERI,Singapore Eye Research Institute,"The Academia, 20 College Rd, Level 6 Discovery Tower, Singapore 169856",0,1,0,0
SGH,Singapore General Hospital,"31 Third Hospital Ave, Singapore 168753",0,1,0,0
SIT,Singapore Institute of Technology,"10 Dover Dr, Singapore 138683",0,1,0,0
SJI,Saint Joseph's Institution,"38 Malcolm Rd, Singapore 308274",1,0,0,0
SMU,Singapore Management University,"81 Victoria St, Singapore 188065",0,1,0,0
SP,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",1,1,0,0
SRIS,Skin Research Institute of Singapore,"11 Mandalay Rd, #17-01, Singapore 308232",0,1,0,0
SUTD,Singapore University of Technology and Design,"8 Somapah Rd, Singapore 487372",0,1,0,0
TJC,Temasek Junior College,"22 Bedok S Rd, Singapore 469278",1,0,0,0
TLL,Temasek Life Sciences Laboratory,1 Research Link National University of Singapore Singapore 117604,0,1,0,0
VJC,Victoria Junior College,"20 Marine Vista, Singapore 449035",1,0,0,0
VS,Victoria School,"2 Siglap Link, Singapore 448880",1,0,0,0
WS,World Scientific Publishing,"5 Toh Tuck Link, Singapore 596224",0,0,0,1
WVCH,Wiley-VCH,"Boschstraße 12, 69469 Weinheim",0,0,0,1
YIJC,Yishun Innova Junior College,"3 Yishun Ring Rd, Singapore 768675",1,0,0,0
YLL,Yong Loo Lin School of Medicine,"10 Medical Dr, Singapore 117597",0,1,0,0
